Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-05-06,234.1,234.47,228.2,230.43,5270900,0,0
2015-05-07,221.0,237.48,220.25,236.8,9455900,0,0
2015-05-08,235.99,238.41,233.7,236.61,4668200,0,0
2015-05-11,236.29,242.88,235.31,239.49,5672300,0,0
2015-05-12,240.11,246.35,238.19,244.74,6363400,0,0
2015-05-13,247.61,248.3,242.25,243.18,5440200,0,0
2015-05-14,244.82,244.89,241.25,244.1,2895900,0,0
2015-05-15,243.93,249.4,242.5,248.84,4527600,0,0
2015-05-18,247.0,249.9,246.0,248.75,3353200,0,0
2015-05-19,248.43,251.0,246.15,247.14,3674200,0,0
2015-05-20,247.13,247.74,241.37,244.35,3755600,0,0
2015-05-21,243.03,246.62,242.36,245.62,1970600,0,0
2015-05-22,245.38,248.6,245.01,247.73,2223100,0,0
2015-05-26,247.68,252.0,246.5,247.46,3498700,0,0
2015-05-27,248.51,249.5,245.55,247.43,3408200,0,0
2015-05-28,247.03,251.8,245.05,251.45,3647300,0,0
2015-05-29,251.0,252.87,249.43,250.8,3789300,0,0
2015-06-01,251.41,251.6,247.47,249.45,2505100,0,0
2015-06-02,248.92,249.4,246.3,248.35,2134800,0,0
2015-06-03,248.2,250.72,247.01,248.99,1781500,0,0
2015-06-04,247.5,249.3,245.71,245.92,2453600,0,0
2015-06-05,246.0,249.7,245.68,249.14,3022000,0,0
2015-06-08,250.85,258.75,250.31,256.29,5017000,0,0
2015-06-09,255.4,257.74,254.14,256.0,2611100,0,0
2015-06-10,251.9,254.0,248.5,250.7,3454500,0,0
2015-06-11,253.26,254.37,250.43,251.41,2044100,0,0
2015-06-12,250.21,253.46,250.21,250.69,1422300,0,0
2015-06-15,249.7,251.28,246.01,250.38,2186200,0,0
2015-06-16,250.13,253.44,249.1,253.12,1984700,0,0
2015-06-17,252.17,264.36,252.02,260.41,5512900,0,0
2015-06-18,262.0,263.46,260.02,261.89,2782700,0,0
2015-06-19,262.4,263.8,260.1,262.51,2463000,0,0
2015-06-22,262.15,264.4,255.69,259.79,4561100,0,0
2015-06-23,260.32,268.0,258.57,267.67,3870800,0,0
2015-06-24,266.98,267.35,263.72,265.17,2412300,0,0
2015-06-25,266.45,271.41,265.25,268.79,2849200,0,0
2015-06-26,268.89,269.11,266.0,267.09,3838400,0,0
2015-06-29,261.95,265.95,260.7,262.02,3478900,0,0
2015-06-30,264.8,270.92,264.0,268.26,3086900,0,0
2015-07-01,271.11,272.62,267.85,269.15,2101200,0,0
2015-07-02,280.2,282.45,273.31,280.02,7163900,0,0
2015-07-06,278.88,281.69,276.3,279.72,4121900,0,0
